State, Facility Name, Facility ID (ORISPL), Stack/Unit/Pipe ID, Associated Units, Year, CO2 (short tons)
"AL","AMEA Sylacauga Plant","56018","1",,"2016","14041.5",
"AL","AMEA Sylacauga Plant","56018","2",,"2016","13438.8",
"AL","Ascend (Decatur Plant)","880041","CS001"," Z004, Z005, Z006","2016",,
"AL","Ascend (Decatur Plant)","880041","X015",,"2016",,
"AL","Ascend (Decatur Plant)","880041","Z005",,"2016",,
"AL","Ascend (Decatur Plant)","880041","Z006",,"2016",,
"AL","Barry","3","1",,"2016",,
"AL","Barry","3","2",,"2016",,
"AL","Barry","3","4",,"2016","1027569.225",
"AL","Barry","3","5",,"2016",,
"AL","Barry","3","6A",,"2016","669387.275",
"AL","Barry","3","6B",,"2016","613831.075",
"AL","Barry","3","7A",,"2016","672183.05",
"AL","Barry","3","7B",,"2016","689177.225",
"AL","Barry","3","CS0AAN"," 1, 2, 3","2016","22109.15",
"AL","Barry","3","MS5C"," 5","2016","2701433.875",
"AL","Barry","3","MS5D"," 5","2016",,
"AL","Barry","3","MS5E"," 5","2016",,
"AL","Calhoun Energy Center","55409","CT1",,"2016","37012.433",
"AL","Calhoun Energy Center","55409","CT2",,"2016","16978.209",
"AL","Calhoun Energy Center","55409","CT3",,"2016","25853.413",
"AL","Calhoun Energy Center","55409","CT4",,"2016","43368.585",
"AL","Charles R Lowman","56","1",,"2016",,
"AL","Charles R Lowman","56","2",,"2016",,
"AL","Charles R Lowman","56","3",,"2016",,
"AL","Charles R Lowman","56","CS004"," 1, 2","2016","561431.865",
"AL","Charles R Lowman","56","MS001"," 1","2016",,
"AL","Charles R Lowman","56","MS03C"," 3","2016","466570.251",
"AL","Charles R Lowman","56","MS03D"," 3","2016","539826.114",
"AL","Colbert","47","1",,"2016",,
"AL","Colbert","47","2",,"2016",,
"AL","Colbert","47","3",,"2016",,
"AL","Colbert","47","4",,"2016",,
"AL","Colbert","47","5",,"2016",,
"AL","Colbert","47","CCT1",,"2016","390.6",
"AL","Colbert","47","CCT2",,"2016","345.7",
"AL","Colbert","47","CCT3",,"2016","388.0",
"AL","Colbert","47","CCT4",,"2016","398.0",
"AL","Colbert","47","CCT5",,"2016","376.7",
"AL","Colbert","47","CCT6",,"2016","506.6",
"AL","Colbert","47","CCT7",,"2016","352.2",
"AL","Colbert","47","CCT8",,"2016","895.0",
"AL","Colbert","47","CSCO14"," 1, 2, 3, 4","2016","961012.984",
"AL","Decatur Energy Center","55292","CTG-1",,"2016","313760.85",
"AL","Decatur Energy Center","55292","CTG-2",,"2016","312647.683",
"AL","Decatur Energy Center","55292","CTG-3",,"2016","327147.128",
"AL","E B Harris Generating Plant","7897","1A",,"2016","506779.65",
"AL","E B Harris Generating Plant","7897","1B",,"2016","503573.6",
"AL","E B Harris Generating Plant","7897","2A",,"2016","450814.1",
"AL","E B Harris Generating Plant","7897","2B",,"2016","439785.65",
"AL","E C Gaston","26","1",,"2016",,
"AL","E C Gaston","26","2",,"2016",,
"AL","E C Gaston","26","3",,"2016",,
"AL","E C Gaston","26","4",,"2016",,
"AL","E C Gaston","26","5",,"2016",,
"AL","E C Gaston","26","CS0CAN"," 1, 2","2016","185513.0",
"AL","E C Gaston","26","CS0CBN"," 3, 4","2016","179470.525",
"AL","E C Gaston","26","MS5A"," 5","2016","3527602.575",
"AL","E C Gaston","26","MS5B"," 5","2016","30103.95",
"AL","Gadsden","7","1",,"2016",,
"AL","Gadsden","7","2",,"2016",,
"AL","Gadsden","7","CS0BAN"," 1, 2","2016","123540.575",
"AL","Gorgas","8","10",,"2016",,
"AL","Gorgas","8","8",,"2016",,
"AL","Gorgas","8","9",,"2016",,
"AL","Gorgas","8","CS0DCN"," 10, 8, 9","2016","4668917.525",
"AL","Greene County","10","1",,"2016",,
"AL","Greene County","10","2",,"2016",,
"AL","Greene County","10","CS0EBN"," 1, 2","2016","791928.575",
"AL","Greene County","10","CT10",,"2016","3022.195",
"AL","Greene County","10","CT2",,"2016","9966.602",
"AL","Greene County","10","CT3",,"2016","17994.997",
"AL","Greene County","10","CT4",,"2016","16921.592",
"AL","Greene County","10","CT5",,"2016","14621.997",
"AL","Greene County","10","CT6",,"2016","20509.187",
"AL","Greene County","10","CT7",,"2016","8470.806",
"AL","Greene County","10","CT8",,"2016","11301.395",
"AL","Greene County","10","CT9",,"2016","15463.296",
"AL","Hillabee Energy Center","55411","CT1",,"2016","878991.897",
"AL","Hillabee Energy Center","55411","CT2",,"2016","835732.797",
"AL","Hog Bayou Energy Center","55241","COG01",,"2016","543356.506",
"AL","Indorama Ventures Xylenes and PTA, LLC","880075","AB8301",,"2016",,
"AL","International Paper-Prattville Mill","52140","MS1N"," Z006","2016",,
"AL","International Paper-Prattville Mill","52140","MS1S"," Z006","2016",,
"AL","International Paper-Prattville Mill","52140","MS2N"," Z008","2016",,
"AL","International Paper-Prattville Mill","52140","MS2S"," Z008","2016",,
"AL","International Paper-Prattville Mill","52140","Z006",,"2016",,
"AL","International Paper-Prattville Mill","52140","Z008",,"2016",,
"AL","International Paper-Riverdale Mill","54096","X026",,"2016",,
"AL","International Paper-Riverdale Mill","54096","Z007",,"2016",,
"AL","James H Miller Jr","6002","1",,"2016",,
"AL","James H Miller Jr","6002","2",,"2016",,
"AL","James H Miller Jr","6002","3",,"2016",,
"AL","James H Miller Jr","6002","4",,"2016",,
"AL","James H Miller Jr","6002","MS1A"," 1","2016","4038972.225",
"AL","James H Miller Jr","6002","MS1B"," 1","2016","762.175",
"AL","James H Miller Jr","6002","MS2A"," 2","2016","2549793.05",
"AL","James H Miller Jr","6002","MS2B"," 2","2016","529.55",
"AL","James H Miller Jr","6002","MS3A"," 3","2016","4060749.125",
"AL","James H Miller Jr","6002","MS3B"," 3","2016","1548.3",
"AL","James H Miller Jr","6002","MS4A"," 4","2016","4522519.825",
"AL","James H Miller Jr","6002","MS4B"," 4","2016","472.7",
"AL","McIntosh (7063)","7063","**1",,"2016","3671.833",
"AL","McIntosh (7063)","7063","**2",,"2016","13162.869",
"AL","McIntosh (7063)","7063","**3",,"2016","22014.692",
"AL","McIntosh (7063)","7063","**4",,"2016","66578.045",
"AL","McIntosh (7063)","7063","**5",,"2016","71615.71",
"AL","McWilliams","533","**4",,"2016","137919.281",
"AL","McWilliams","533","**V1",,"2016","619026.98",
"AL","McWilliams","533","**V2",,"2016","607132.028",
"AL","MeadWestvaco Coated Board, LLC","54802","X022",,"2016",,
"AL","MeadWestvaco Coated Board, LLC","54802","Z008",,"2016",,
"AL","Morgan Energy Center","55293","CT-1",,"2016","465674.396",
"AL","Morgan Energy Center","55293","CT-2",,"2016","554843.131",
"AL","Morgan Energy Center","55293","CT-3",,"2016","403025.051",
"AL","Plant H. Allen Franklin","7710","1A",,"2016","616050.225",
"AL","Plant H. Allen Franklin","7710","1B",,"2016","610121.175",
"AL","Plant H. Allen Franklin","7710","2A",,"2016","667531.5",
"AL","Plant H. Allen Franklin","7710","2B",,"2016","674709.025",
"AL","Plant H. Allen Franklin","7710","3A",,"2016","531118.0",
"AL","Plant H. Allen Franklin","7710","3B",,"2016","524765.15",
"AL","RockTenn CP LLC Stevenson Mill","880101","PB3",,"2016",,
"AL","SABIC Innovative Plastics - Burkville","7698","CC1",,"2016","243661.175",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB1",,"2016","639552.135",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB2",,"2016","657476.8",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB3",,"2016","603834.606",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT1",,"2016","356112.988",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT2",,"2016","319196.555",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT3",,"2016","339589.673",
"AL","Theodore Cogeneration","7721","CC1",,"2016","518304.7",
"AL","Walton Discover Power Facility","55138","1A",,"2016",,
"AL","Walton Discover Power Facility","55138","1B",,"2016",,
"AL","Walton Discover Power Facility","55138","2A",,"2016",,
"AL","Walton Discover Power Facility","55138","2B",,"2016",,
"AL","Washington County Cogen (Olin)","7697","CC1",,"2016","384912.325",
"AL","Widows Creek","50","7",,"2016",,
"AL","Widows Creek","50","8",,"2016",,
"AR","Carl Bailey","202","01",,"2016","8206.62",
"AR","City Water & Light - City of Jonesboro","56505","SN04",,"2016","8005.5",
"AR","City Water & Light - City of Jonesboro","56505","SN06",,"2016","2383.0",
"AR","City Water & Light - City of Jonesboro","56505","SN07",,"2016","13187.2",
"AR","Dell Power Plant","55340","1",,"2016","138250.693",
"AR","Dell Power Plant","55340","2",,"2016","149247.318",
"AR","Flint Creek Power Plant","6138","1",,"2016","1721856.851",
"AR","Fulton","7825","CT1",,"2016","20795.276",
"AR","Harry D. Mattison Power Plant","56328","1",,"2016","25672.1",
"AR","Harry D. Mattison Power Plant","56328","2",,"2016","27457.5",
"AR","Harry D. Mattison Power Plant","56328","3",,"2016","17658.7",
"AR","Harry D. Mattison Power Plant","56328","4",,"2016","15595.5",
"AR","Hot Spring  Energy Facility","55418","CT-1",,"2016","545682.405",
"AR","Hot Spring  Energy Facility","55418","CT-2",,"2016","531732.705",
"AR","Independence","6641","1",,"2016","2790267.2",
"AR","Independence","6641","2",,"2016","3470187.614",
"AR","John W. Turk Jr. Power Plant","56564","SN-01",,"2016","2790501.298",
"AR","Lake Catherine","170","4",,"2016","205725.454",
"AR","Magnet Cove Generating Station","55714","SN-01",,"2016","271957.862",
"AR","Magnet Cove Generating Station","55714","SN-02",,"2016","338411.634",
"AR","McClellan","203","01",,"2016","39948.237",
"AR","Oswald Generating Station","55221","G1",,"2016","28185.269",
"AR","Oswald Generating Station","55221","G2",,"2016","28382.693",
"AR","Oswald Generating Station","55221","G3",,"2016","21517.205",
"AR","Oswald Generating Station","55221","G4",,"2016","26146.879",
"AR","Oswald Generating Station","55221","G5",,"2016","24398.454",
"AR","Oswald Generating Station","55221","G6",,"2016","26129.637",
"AR","Oswald Generating Station","55221","G7",,"2016","60272.051",
"AR","Pine Bluff Energy Center","55075","CT-1",,"2016","553080.629",
"AR","Plum Point Energy Station","56456","1",,"2016","3356874.434",
"AR","Thomas Fitzhugh","201","2",,"2016","73947.854",
"AR","Union Power Station","55380","CTG-1",,"2016","355941.583",
"AR","Union Power Station","55380","CTG-2",,"2016","363494.321",
"AR","Union Power Station","55380","CTG-3",,"2016","506457.258",
"AR","Union Power Station","55380","CTG-4",,"2016","499419.578",
"AR","Union Power Station","55380","CTG-5",,"2016","380663.545",
"AR","Union Power Station","55380","CTG-6",,"2016","376181.467",
"AR","Union Power Station","55380","CTG-7",,"2016","399500.57",
"AR","Union Power Station","55380","CTG-8",,"2016","400587.367",
"AR","White Bluff","6009","1",,"2016","2270877.496",
"AR","White Bluff","6009","2",,"2016","2168380.939",
"AZ","APS Saguaro Power Plant","118","CT3",,"2016","10613.471",
"AZ","APS West Phoenix Power Plant","117","CC4",,"2016","85319.111",
"AZ","APS West Phoenix Power Plant","117","CC5A",,"2016","401610.758",
"AZ","APS West Phoenix Power Plant","117","CC5B",,"2016","391957.289",
"AZ","Agua Fria Generating Station","141","1",,"2016","17023.938",
"AZ","Agua Fria Generating Station","141","2",,"2016","21047.972",
"AZ","Agua Fria Generating Station","141","3",,"2016","28788.81",
"AZ","Apache Station","160","1",,"2016","55300.973",
"AZ","Apache Station","160","2",,"2016","788446.103",
"AZ","Apache Station","160","3",,"2016","978793.494",
"AZ","Apache Station","160","4",,"2016","20316.972",
"AZ","Arlington Valley Energy Facility","55282","CTG1",,"2016","350910.696",
"AZ","Arlington Valley Energy Facility","55282","CTG2",,"2016","349513.221",
"AZ","Black Mountain Generating Station","56482","1",,"2016","19730.301",
"AZ","Black Mountain Generating Station","56482","2",,"2016","14265.723",
"AZ","Cholla","113","1",,"2016","180243.774",
"AZ","Cholla","113","3",,"2016","565710.497",
"AZ","Cholla","113","4",,"2016","1589589.818",
"AZ","Coolidge Generating Station","56948","CT01",,"2016","3253.295",
"AZ","Coolidge Generating Station","56948","CT02",,"2016","3233.28",
"AZ","Coolidge Generating Station","56948","CT03",,"2016","4329.146",
"AZ","Coolidge Generating Station","56948","CT04",,"2016","4894.25",
"AZ","Coolidge Generating Station","56948","CT05",,"2016","6529.039",
"AZ","Coolidge Generating Station","56948","CT06",,"2016","7378.104",
"AZ","Coolidge Generating Station","56948","CT07",,"2016","9003.749",
"AZ","Coolidge Generating Station","56948","CT08",,"2016","7402.788",
"AZ","Coolidge Generating Station","56948","CT09",,"2016","9748.754",
"AZ","Coolidge Generating Station","56948","CT10",,"2016","13690.342",
"AZ","Coolidge Generating Station","56948","CT11",,"2016","3236.146",
"AZ","Coolidge Generating Station","56948","CT12",,"2016","8548.081",
"AZ","Coronado Generating Station","6177","U1B",,"2016","2322082.141",
"AZ","Coronado Generating Station","6177","U2B",,"2016","2226858.743",
"AZ","De Moss Petrie Generating Station","124","GT1",,"2016","2927.44",
"AZ","Desert Basin Generating Station","55129","DBG1",,"2016","300451.501",
"AZ","Desert Basin Generating Station","55129","DBG2",,"2016","201698.736",
"AZ","Gila River Power Station","55306","1CTGA",,"2016","150227.991",
"AZ","Gila River Power Station","55306","1CTGB",,"2016","115065.133",
"AZ","Gila River Power Station","55306","2CTGA",,"2016","161057.877",
"AZ","Gila River Power Station","55306","2CTGB",,"2016","164478.184",
"AZ","Gila River Power Station","55306","3CTGA",,"2016","436425.715",
"AZ","Gila River Power Station","55306","3CTGB",,"2016","452692.362",
"AZ","Gila River Power Station","55306","4CTGA",,"2016","526579.838",
"AZ","Gila River Power Station","55306","4CTGB",,"2016","512605.026",
"AZ","Griffith Energy Project","55124","P1",,"2016","321906.387",
"AZ","Griffith Energy Project","55124","P2",,"2016","400005.309",
"AZ","Irvington Generating Station","126","1",,"2016","20279.273",
"AZ","Irvington Generating Station","126","2",,"2016","38365.888",
"AZ","Irvington Generating Station","126","3",,"2016","84566.165",
"AZ","Irvington Generating Station","126","4",,"2016","316354.883",
"AZ","Kyrene Generating Station","147","K-7",,"2016","462571.966",
"AZ","Mesquite Generating Station","55481","1",,"2016","357119.064",
"AZ","Mesquite Generating Station","55481","2",,"2016","384275.355",
"AZ","Mesquite Generating Station","55481","5",,"2016","400198.127",
"AZ","Mesquite Generating Station","55481","6",,"2016","407041.624",
"AZ","Navajo Generating Station","4941","1",,"2016","3487476.156",
"AZ","Navajo Generating Station","4941","2",,"2016","3075372.344",
"AZ","Navajo Generating Station","4941","3",,"2016","3233345.918",
"AZ","New Harquahala Generating Company, LLC","55372","CTG1",,"2016","584521.832",
"AZ","New Harquahala Generating Company, LLC","55372","CTG2",,"2016","297171.843",
"AZ","New Harquahala Generating Company, LLC","55372","CTG3",,"2016","445959.919",
"AZ","Ocotillo Power Plant","116","1",,"2016","40460.881",
"AZ","Ocotillo Power Plant","116","2",,"2016","39170.845",
"AZ","Redhawk Generating Facility","55455","CC1A",,"2016","492540.043",
"AZ","Redhawk Generating Facility","55455","CC1B",,"2016","497214.991",
"AZ","Redhawk Generating Facility","55455","CC2A",,"2016","439416.956",
"AZ","Redhawk Generating Facility","55455","CC2B",,"2016","455218.905",
"AZ","Santan","8068","5A",,"2016","228246.739",
"AZ","Santan","8068","5B",,"2016","286500.409",
"AZ","Santan","8068","6A",,"2016","432603.568",
"AZ","South Point Energy Center, LLC","55177","A",,"2016","46867.546",
"AZ","South Point Energy Center, LLC","55177","B",,"2016",,
"AZ","Springerville Generating Station","8223","1",,"2016","1504142.762",
"AZ","Springerville Generating Station","8223","2",,"2016","2156918.146",
"AZ","Springerville Generating Station","8223","4",,"2016","1769800.45",
"AZ","Springerville Generating Station","8223","TS3",,"2016","2124393.789",
"AZ","Sundance Power Plant","55522","CT01",,"2016","7987.915",
"AZ","Sundance Power Plant","55522","CT02",,"2016","8772.964",
"AZ","Sundance Power Plant","55522","CT03",,"2016","6225.36",
"AZ","Sundance Power Plant","55522","CT04",,"2016","6558.871",
"AZ","Sundance Power Plant","55522","CT05",,"2016","5838.601",
"AZ","Sundance Power Plant","55522","CT06",,"2016","10134.018",
"AZ","Sundance Power Plant","55522","CT07",,"2016","7677.546",
"AZ","Sundance Power Plant","55522","CT08",,"2016","13243.033",
"AZ","Sundance Power Plant","55522","CT09",,"2016","13534.801",
"AZ","Sundance Power Plant","55522","CT10",,"2016","12098.615",
"AZ","Yucca Power Plant","120","1",,"2016","149237.954",
"AZ","Yucca Power Plant","120","CT5",,"2016","41510.587",
"AZ","Yucca Power Plant","120","CT6",,"2016","40051.652",
"AZ","Yuma Cogeneration Associates","54694","4101",,"2016","2686.004",
"CA","AES Alamitos","315","1",,"2016","26445.8",
"CA","AES Alamitos","315","2",,"2016","39596.5",
"CA","AES Alamitos","315","3",,"2016","137331.4",
"CA","AES Alamitos","315","4",,"2016","167112.2",
"CA","AES Alamitos","315","5",,"2016","57792.2",
"CA","AES Alamitos","315","6",,"2016","78748.0",
"CA","AES Huntington Beach","335","1",,"2016","138718.1",
"CA","AES Huntington Beach","335","2",,"2016","142847.1",
"CA","AES Redondo Beach","356","5",,"2016","21900.4",
"CA","AES Redondo Beach","356","6",,"2016","44388.2",
"CA","AES Redondo Beach","356","7",,"2016","112529.4",
"CA","AES Redondo Beach","356","8",,"2016","50739.3",
"CA","Agua Mansa Power","55951","AMP-1",,"2016","3292.45",
"CA","Almond Power Plant","7315","1",,"2016","16022.206",
"CA","Almond Power Plant","7315","2",,"2016","13820.456",
"CA","Almond Power Plant","7315","3",,"2016","18860.892",
"CA","Almond Power Plant","7315","4",,"2016","1696.614",
"CA","Anaheim Combustion Turbine","7693","1",,"2016","15692.71",
"CA","Barre Generating Station","56474","CT1",,"2016","13088.843",
"CA","Blythe Energy","55295","1",,"2016","143313.977",
"CA","Blythe Energy","55295","2",,"2016","150557.212",
"CA","Broadway","420","B3",,"2016","15289.908",
"CA","Cabrillo Power I Encina Power Station","302","1",,"2016","9106.566",
"CA","Cabrillo Power I Encina Power Station","302","2",,"2016","8796.512",
"CA","Cabrillo Power I Encina Power Station","302","3",,"2016","11194.618",
"CA","Cabrillo Power I Encina Power Station","302","4",,"2016","53521.107",
"CA","Cabrillo Power I Encina Power Station","302","5",,"2016","88609.031",
"CA","Cabrillo Power I Encina Power Station","302","CS0001"," 1, 2, 3, 4, 5","2016",,
"CA","CalPeak Power - Border LLC","55510","GT-1",,"2016","5783.386",
"CA","CalPeak Power - Enterprise LLC","55513","GT-1",,"2016","7082.719",
"CA","CalPeak Power - Panoche LLC","55508","GT-1",,"2016","10722.252",
"CA","CalPeak Power - Vaca Dixon LLC","55499","GT-1",,"2016","7726.298",
"CA","Calpine Gilroy Cogen, LP","10034","S-100",,"2016","67784.508",
"CA","Calpine Sutter Energy Center","55112","CT01",,"2016","79.265",
"CA","Calpine Sutter Energy Center","55112","CT02",,"2016","88.06",
"CA","Canyon Power Plant","57027","1",,"2016","14055.606",
"CA","Canyon Power Plant","57027","2",,"2016","13251.387",
"CA","Canyon Power Plant","57027","3",,"2016","12596.113",
"CA","Canyon Power Plant","57027","4",,"2016","13835.971",
"CA","Carson Cogeneration","7527","1",,"2016","150025.716",
"CA","Carson Cogeneration","7527","2",,"2016","8301.665",
"CA","Carson Cogeneration Company","10169","D1",,"2016","16721.323",
"CA","Center Generating Station","56475","CT1",,"2016","12682.928",
"CA","Chula Vista Energy Center","55540","1A",,"2016","2774.441",
"CA","Chula Vista Energy Center","55540","1B",,"2016","2758.599",
"CA","Chula Vista Energy Center","55540","CS001"," 1A, 1B","2016",,
"CA","Coalinga Cogeneration Company","50131","1",,"2016","134675.207",
"CA","Colusa Generating Station","56532","CT1",,"2016","441232.376",
"CA","Colusa Generating Station","56532","CT2",,"2016","459460.154",
"CA","Cosumnes Power Plant","55970","2",,"2016","581164.167",
"CA","Cosumnes Power Plant","55970","3",,"2016","593468.792",
"CA","Creed Energy Center","55625","UNIT1",,"2016","4990.476",
"CA","Cuyamaca Peak Energy","55512","GT-1",,"2016","5485.105",
"CA","DTE Stockton","54238","BIOMS1",,"2016","435020.069",
"CA","Delano Energy Center, LLC","58122","GEN1",,"2016","5482.307",
"CA","Delta Energy Center, LLC","55333","1",,"2016","402051.925",
"CA","Delta Energy Center, LLC","55333","2",,"2016","361745.178",
"CA","Delta Energy Center, LLC","55333","3",,"2016","361118.236",
"CA","Donald Von Raesfeld","56026","PCT1",,"2016","161462.613",
"CA","Donald Von Raesfeld","56026","PCT2",,"2016","167055.588",
"CA","El Cajon Energy Center","57001","1",,"2016","5772.95",
"CA","El Centro","389","2-2",,"2016","119563.882",
"CA","El Centro","389","3-1",,"2016","97770.534",
"CA","El Centro","389","3-2",,"2016","122781.982",
"CA","El Centro","389","4",,"2016","80939.04",
"CA","El Segundo","330","5",,"2016","219737.161",
"CA","El Segundo","330","7",,"2016","197745.287",
"CA","Elk Hills Power","55400","CTG-1",,"2016","501947.268",
"CA","Elk Hills Power","55400","CTG-2",,"2016","504426.579",
"CA","Escondido Energy Center, LLC","55538","CTG1",,"2016","15018.874",
"CA","Etiwanda Generating Station","331","3",,"2016","41533.61",
"CA","Etiwanda Generating Station","331","4",,"2016","41970.248",
"CA","Feather River Energy Center","55847","UNIT1",,"2016","12945.687",
"CA","Fresno Cogeneration Partners, LP","10156","GEN1",,"2016","3137.575",
"CA","Gateway Generating Station","56476","GT1",,"2016","349359.364",
"CA","Gateway Generating Station","56476","GT2",,"2016","361620.857",
"CA","Gilroy Energy Center, LLC","55810","S-3",,"2016","3200.383",
"CA","Gilroy Energy Center, LLC","55810","S-4",,"2016","3605.598",
"CA","Gilroy Energy Center, LLC","55810","S-5",,"2016","2763.879",
"CA","Gilroy Energy Center, LLC for King City","10294","2",,"2016","2768.07",
"CA","Glenarm","422","GT3",,"2016","9591.947",
"CA","Glenarm","422","GT4",,"2016","5557.985",
"CA","Goal Line","54749","1",,"2016","8135.853",
"CA","Goose Haven Energy Center","55627","UNIT1",,"2016","5229.739",
"CA","Grapeland Generating Station","56472","CT1",,"2016","12520.935",
"CA","Grayson Power Plant","377","4",,"2016","24332.275",
"CA","Grayson Power Plant","377","5",,"2016","60810.343",
"CA","Grayson Power Plant","377","9",,"2016","11261.929",
"CA","Greenleaf One","10350","1",,"2016","13111.781",
"CA","Hanford Energy Park Peaker","55698","HEP1",,"2016","6754.318",
"CA","Hanford Energy Park Peaker","55698","HEP2",,"2016","7250.991",
"CA","Harbor Generating Station","399","**10A",,"2016","26236.404",
"CA","Harbor Generating Station","399","**10B",,"2016","24277.025",
"CA","Harbor Generating Station","399","10",,"2016","8397.113",
"CA","Harbor Generating Station","399","11",,"2016","7260.161",
"CA","Harbor Generating Station","399","12",,"2016","4829.487",
"CA","Harbor Generating Station","399","13",,"2016","3872.657",
"CA","Harbor Generating Station","399","14",,"2016","9290.569",
"CA","Haynes Generating Station","400","1",,"2016","127872.448",
"CA","Haynes Generating Station","400","10",,"2016","272936.971",
"CA","Haynes Generating Station","400","11",,"2016","50808.691",
"CA","Haynes Generating Station","400","12",,"2016","9723.615",
"CA","Haynes Generating Station","400","13",,"2016","47276.001",
"CA","Haynes Generating Station","400","14",,"2016","10344.067",
"CA","Haynes Generating Station","400","15",,"2016","43833.04",
"CA","Haynes Generating Station","400","16",,"2016","40232.072",
"CA","Haynes Generating Station","400","2",,"2016","158134.767",
"CA","Haynes Generating Station","400","9",,"2016","517915.232",
"CA","Henrietta Peaker Plant","55807","HPP1",,"2016","8145.48",
"CA","Henrietta Peaker Plant","55807","HPP2",,"2016","7964.436",
"CA","High Desert Power Project","55518","CTG1",,"2016","364780.108",
"CA","High Desert Power Project","55518","CTG2",,"2016","329724.833",
"CA","High Desert Power Project","55518","CTG3",,"2016","334413.282",
"CA","Indigo Generation Facility","55541","1",,"2016","5120.903",
"CA","Indigo Generation Facility","55541","2",,"2016","6572.238",
"CA","Indigo Generation Facility","55541","3",,"2016","6401.454",
"CA","Inland Empire Energy Center","55853","1",,"2016","134506.62",
"CA","Inland Empire Energy Center","55853","2",,"2016","29651.039",
"CA","Ivanpah 1","57074","BLR1",,"2016","23916.0",
"CA","Ivanpah 2","57073","BLR1",,"2016","16525.9",
"CA","Ivanpah 3","57075","BLR1",,"2016","20845.1",
"CA","Kingsburg Cogen Facility","10405","1",,"2016","15410.973",
"CA","La Paloma Generating Plant","55151","CTG-1",,"2016","386661.901",
"CA","La Paloma Generating Plant","55151","CTG-2",,"2016","370834.396",
"CA","La Paloma Generating Plant","55151","CTG-3",,"2016","383912.749",
"CA","La Paloma Generating Plant","55151","CTG-4",,"2016","218327.833",
"CA","Lake","7987","01",,"2016","9063.4",
"CA","Lambie Energy Center","55626","UNIT1",,"2016","5478.631",
"CA","Larkspur Energy Faciity","55542","1",,"2016","10944.603",
"CA","Larkspur Energy Faciity","55542","2",,"2016","13398.022",
"CA","Lodi Energy Center","57978","CT1",,"2016","200848.506",
"CA","Long Beach Generating Station","341","1",,"2016","4278.683",
"CA","Long Beach Generating Station","341","2",,"2016","4766.072",
"CA","Long Beach Generating Station","341","3",,"2016","4457.846",
"CA","Long Beach Generating Station","341","4",,"2016","4387.896",
"CA","Los Esteros Critical Energy Facility","55748","CTG1",,"2016","15974.498",
"CA","Los Esteros Critical Energy Facility","55748","CTG2",,"2016","13117.348",
"CA","Los Esteros Critical Energy Facility","55748","CTG3",,"2016","20951.478",
"CA","Los Esteros Critical Energy Facility","55748","CTG4",,"2016","25041.649",
"CA","Los Medanos Energy Center, LLC","55217","X724",,"2016","470449.955",
"CA","Los Medanos Energy Center, LLC","55217","X725",,"2016","537171.285",
"CA","Magnolia","56046","1",,"2016","518137.601",
"CA","Malaga Power","56239","GT-1",,"2016","8258.463",
"CA","Malaga Power","56239","GT-2",,"2016","8542.506",
"CA","Malburg Generating Station","56041","M1",,"2016","126234.592",
"CA","Malburg Generating Station","56041","M2",,"2016","126980.294",
"CA","Mandalay Generating Station","345","1",,"2016","34979.49",
"CA","Mandalay Generating Station","345","2",,"2016","32589.456",
"CA","Mariposa Energy Project","57483","GT-1",,"2016","12734.929",
"CA","Mariposa Energy Project","57483","GT-2",,"2016","12968.751",
"CA","Mariposa Energy Project","57483","GT-3",,"2016","12702.923",
"CA","Mariposa Energy Project","57483","GT-4",,"2016","12967.188",
"CA","Marsh Landing Generating Station","57267","1",,"2016","14338.7",
"CA","Marsh Landing Generating Station","57267","2",,"2016","11473.77",
"CA","Marsh Landing Generating Station","57267","3",,"2016","7757.347",
"CA","Marsh Landing Generating Station","57267","4",,"2016","13294.952",
"CA","McGrath Generating Station","56471","CT1",,"2016","11311.489",
"CA","Metcalf Energy Center","55393","1",,"2016","461246.199",
"CA","Metcalf Energy Center","55393","2",,"2016","443005.945",
"CA","Midway Peaking, LLC","56639","1",,"2016","11843.96",
"CA","Midway Peaking, LLC","56639","2",,"2016","9952.235",
"CA","Mira Loma Generating Station","56473","CT1",,"2016","11263.493",
"CA","Miramar Energy Facility","56232","1",,"2016","25424.955",
"CA","Miramar Energy Facility","56232","2",,"2016","31535.068",
"CA","Moss Landing","260","1A",,"2016","233292.438",
"CA","Moss Landing","260","2A",,"2016","168394.331",
"CA","Moss Landing","260","3A",,"2016","161970.361",
"CA","Moss Landing","260","4A",,"2016","149983.32",
"CA","Moss Landing","260","6-1",,"2016","47538.842",
"CA","Moss Landing","260","7-1",,"2016","66567.312",
"CA","Mountainview Generating Station","358","3-1",,"2016","384101.141",
"CA","Mountainview Generating Station","358","3-2",,"2016","350145.524",
"CA","Mountainview Generating Station","358","4-1",,"2016","422050.712",
"CA","Mountainview Generating Station","358","4-2",,"2016","417654.836",
"CA","NCPA Combustion Turbine Project #2","7449","NA1",,"2016","947.632",
"CA","Niland Gas Turbine Plant","56569","1",,"2016","22744.003",
